#,рабочий заголовок,кластер,slug,тип статьи,приоритет,статус,перелинковка (исходящие ссылки и анкоры)
23,Флюс RMA и RA: расшифровка маркировки и отличия,Материалы / Флюсы,flyus-rma-i-ra-otlichiya,обучающий,🟢 Низкий,не начато,-> #20 (/flyus-dlya-pajki-kakoj-vybrat) [классификация флюсов]; -> #30 (/smd-pajka-svoimi-rukami) [флюс-гель для SMD]
24,Как сделать флюс в домашних условиях,Материалы / Флюсы,kak-sdelat-flyus-doma,инструкция,🟢 Низкий,не начато,-> #20 (/flyus-dlya-pajki-kakoj-vybrat) [готовые флюсы]; -> #21 (/kanifol-ili-zhidkij-flyus) [спиртоканифольный флюс СКФ]
25,5 типичных ошибок новичка при пайке и как их избежать,Ошибки / Проблемы новичка,oshibki-novichka-pri-pajke,топ ошибок,🔴 Высокий,не начато,-> #26 (/holodnaya-pajka-kak-raspoznat) [дефект холодной пайки]; -> #27 (/pripoj-ne-plavitsya-prichiny) [почему припой скатывается]; -> #28 (/kak-ubrat-most-pripoya) [как убрать мостик припоя]; -> #29 (/peregrev-komponentov-pri-pajke) [перегрев деталей]
26,Холодная пайка: как распознать и переделать,Ошибки / Проблемы новичка,holodnaya-pajka-kak-raspoznat,гайд,🔴 Высокий,не начато,-> #25 (/oshibki-novichka-pri-pajke) [все ошибки новичка]; -> #1 (/kak-payat-payalnikom-dlya-nachinayuschih) [правильный прогрев контакта]
27,Почему припой не плавится или скатывается: причины,Ошибки / Проблемы новичка,pripoj-ne-plavitsya-prichiny,проблема-решение,🟡 Средний,не начато,-> #25 (/oshibki-novichka-pri-pajke) [типичные проблемы пайки]; -> #42 (/kak-chistit-i-ludit-zhalo) [чистка и лужение жала]
28,Как убрать мост припоя между контактами,Ошибки / Проблемы новичка,kak-ubrat-most-pripoya,инструкция,🟡 Средний,не начато,-> #25 (/oshibki-novichka-pri-pajke) [дефекты пайки]; -> #39 (/opletka-dlya-snyatiya-pripoya) [удаление припоя медной оплеткой]
29,Перегрев компонентов при пайке: как не сжечь деталь,Ошибки / Проблемы новичка,peregrev-komponentov-pri-pajke,гайд,🟡 Средний,не начато,-> #25 (/oshibki-novichka-pri-pajke) [ошибки при пайке]; -> #8 (/moschnost-payalnika-dlya-zadach) [настройка температуры паяльника]
30,SMD пайка своими руками: как паять мелкие компоненты,Типы монтажа / SMD,smd-pajka-svoimi-rukami,инструкция,🟡 Средний,не начато,-> #31 (/smd-ili-dip-chem-otlichayutsya) [разница SMD и DIP]; -> #32 (/kak-payat-smd-bez-fena) [пайка SMD без фена]; -> #33 (/termofen-dlya-pajki-vybor) [термофен для SMD]; -> #58 (/pajka-komponentov-0201-0402) [пайка 0201 и 0402]
31,SMD или DIP: чем отличаются и что выбрать для проекта,Типы монтажа / SMD vs DIP,smd-ili-dip-chem-otlichayutsya,сравнение,🟡 Средний,не начато,-> #1 (/kak-payat-payalnikom-dlya-nachinayuschih) [пайка DIP элементов]; -> #30 (/smd-pajka-svoimi-rukami) [ручная пайка SMD]
32,Как паять SMD без паяльной станции с горячим воздухом,Типы монтажа / SMD,kak-payat-smd-bez-fena,инструкция,🟢 Низкий,не начато,-> #30 (/smd-pajka-svoimi-rukami) [гайд по SMD пайке]; -> #39 (/opletka-dlya-snyatiya-pripoya) [демонтаж оплеткой]
33,Термофен для пайки: нужен ли новичку и как выбрать,Типы монтажа / SMD,termofen-dlya-pajki-vybor,buyer's guide,🟢 Низкий,не начато,-> #30 (/smd-pajka-svoimi-rukami) [ручной монтаж SMD]; -> #7 (/payalnaya-stanciya-ili-payalnik) [комбо-станции с феном]
34,Пайка платы телефона: что нужно знать перед началом,Ремонт электроники,pajka-platy-telefona,гайд,🟡 Средний,не начато,-> #35 (/kak-perepayat-razyom-zaryadki) [замена разъёма Type-C]; -> #36 (/remont-naushnikov-pajka) [пайка шнуров и наушников]; -> #37 (/kak-vypayat-detal-s-platy) [выпайка деталей с платы]; -> #51 (/payka-bga-rebolling-dlya-nachinayushchih) [реболлинг BGA чипов]
35,Как перепаять разъём зарядки на плате,Ремонт электроники,kak-perepayat-razyom-zaryadki,инструкция,🟡 Средний,не начато,-> #34 (/pajka-platy-telefona) [пайка плат телефонов]; -> #37 (/kak-vypayat-detal-s-platy) [демонтаж разъёма]
36,Ремонт наушников своими руками: пайка проводов,Ремонт электроники,remont-naushnikov-pajka,инструкция,🟢 Низкий,не начато,-> #3 (/pajka-provodov-kak-soedinit) [пайка тонких проводов]; -> #50 (/termousadka-posle-pajki) [изоляция термоусадкой]
37,Как выпаять деталь с платы без повреждений,Ремонт электроники,kak-vypayat-detal-s-platy,инструкция,🟡 Средний,не начато,-> #39 (/opletka-dlya-snyatiya-pripoya) [медная оплетка для демонтажа]; -> #34 (/pajka-platy-telefona) [ремонт плат]
38,Держатель для пайки (третья рука): нужен ли и какой выбрать,Аксессуары / Оснастка,derzhatel-dlya-pajki-tretya-ruka,buyer's guide,🟢 Низкий,не начато,-> #39 (/opletka-dlya-snyatiya-pripoya) [медная оплетка]; -> #40 (/podstavka-i-gubka-dlya-payalnika) [подставка под паяльник]; -> #53 (/vybor-mikroskopa-dlya-pajki) [микроскопы для пайки]
39,Оплётка для снятия припоя: как использовать правильно,Аксессуары / Оснастка,opletka-dlya-snyatiya-pripoya,инструкция,🟢 Низкий,не начато,-> #38 (/derzhatel-dlya-pajki-tretya-ruka) [оснастка для пайки]; -> #28 (/kak-ubrat-most-pripoya) [устранение мостиков припоя]
40,Подставка и губка для паяльника: зачем нужны,Аксессуары / Оснастка,podstavka-i-gubka-dlya-payalnika,гайд,🟢 Низкий,не начато,-> #38 (/derzhatel-dlya-pajki-tretya-ruka) [оснастка]; -> #42 (/kak-chistit-i-ludit-zhalo) [губка и стружка для очистки жала]
41,"Жало для паяльника: типы, уход, когда менять",Инструменты / Жала,zhalo-dlya-payalnika-tipy,гайд,🟡 Средний,не начато,-> #42 (/kak-chistit-i-ludit-zhalo) [чистка и лужение жала]; -> #13 (/payalniki-t12-obzor) [жала системы T12]
42,Как правильно чистить и лудить жало паяльника,Инструменты / Жала,kak-chistit-i-ludit-zhalo,инструкция,🟡 Средний,не начато,-> #41 (/zhalo-dlya-payalnika-tipy) [типы жал]; -> #27 (/pripoj-ne-plavitsya-prichiny) [очистка почерневшего жала]
43,Техника безопасности при пайке: что важно соблюдать,Безопасность,tehnika-bezopasnosti-pri-pajke,гайд,🔴 Высокий,не начато,-> #44 (/vreden-li-dym-ot-flyusa) [вред дыма от канифоли]; -> #45 (/ventilyaciya-dlya-pajki) [вытяжка для пайки]; -> #17 (/bessvincovyj-pripoj) [свинец в припое]
44,Вреден ли дым от флюса и как защититься,Безопасность,vreden-li-dym-ot-flyusa,обучающий,🟡 Средний,не начато,-> #43 (/tehnika-bezopasnosti-pri-pajke) [техника безопасности]; -> #45 (/ventilyaciya-dlya-pajki) [дымоуловитель для пайки]
45,Вентиляция и вытяжка для рабочего места пайки,Безопасность,ventilyaciya-dlya-pajki,гайд,🟢 Низкий,не начато,-> #43 (/tehnika-bezopasnosti-pri-pajke) [безопасность дома]; -> #46 (/kak-organizovat-mesto-dlya-pajki) [оборудование рабочего места]
46,Как организовать рабочее место для пайки дома,Организация рабочего места,kak-organizovat-mesto-dlya-pajki,гайд,🟡 Средний,не начато,-> #47 (/nabor-instrumentov-dlya-nachinayuschih) [инструменты радиолюбителя]; -> #45 (/ventilyaciya-dlya-pajki) [вентиляция и вытяжка]
47,Набор инструментов для начинающего радиолюбителя,Организация рабочего места,nabor-instrumentov-dlya-nachinayuschih,buyer's guide,🔴 Высокий,не начато,-> #46 (/kak-organizovat-mesto-dlya-pajki) [организация рабочего места]; -> #2 (/s-chego-nachat-pajku) [минимальный набор]; -> #6 (/kakoj-payalnik-vybrat) [выбор паяльника]
48,Пайка алюминия: особенности и какой припой использовать,Материалы / Специфичные,pajka-alyuminiya-osobennosti,гайд,🟢 Низкий,не начато,-> #22 (/aktivnyj-flyus-kak-smyt) [активный флюс для алюминия]; -> #15 (/pripoj-dlya-pajki-vidy) [припой HTS-2000]
49,Пайка нержавейки: можно ли и как это сделать,Материалы / Специфичные,pajka-nerzhavejki,гайд,🟢 Низкий,не начато,-> #22 (/aktivnyj-flyus-kak-smyt) [ортофосфорная кислота]; -> #48 (/pajka-alyuminiya-osobennosti) [пайка сложных металлов]
50,Термоусадка после пайки: как использовать правильно,Материалы / Специфичные,termousadka-posle-pajki,инструкция,🟡 Средний,не начато,-> #3 (/pajka-provodov-kak-soedinit) [пайка и изоляция проводов]; -> #36 (/remont-naushnikov-pajka) [ремонт кабеля]
51,Пайка BGA микросхем для начинающих: что такое реболлинг и как его сделать,BGA и Реболлинг,payka-bga-rebolling-dlya-nachinayushchih,гайд / инструкция,🔴 Высокий,не начато,-> #56 (/trafarety-i-shariki-dlya-bga) [накатка шаров на трафарете]; -> #59 (/nizhnij-podogrev-dlya-pajki) [нижний подогрев для BGA]; -> #52 (/payalnaya-pasta-ili-pripoj) [паяльная паста BGA]
52,Паяльная паста или припой в проволоке: что выбрать и в чём разница,Паяльные пасты и химия,payalnaya-pasta-ili-pripoj,сравнение / гайд,🔴 Высокий,не начато,-> #15 (/pripoj-dlya-pajki-vidy) [проволочный припой]; -> #55 (/kak-payat-payalnoj-pastoj-bez-fena) [пайка пастой дома]; -> #20 (/flyus-dlya-pajki-kakoj-vybrat) [флюс-гели]
53,Как выбрать микроскоп для пайки плат: оптика vs цифра с HDMI/Type-C,Оптические приборы / Микроскопы,vybor-mikroskopa-dlya-pajki,buyer's guide,🟡 Средний,не начато,-> #30 (/smd-pajka-svoimi-rukami) [пайка мелких планарных чипов]; -> #38 (/derzhatel-dlya-pajki-tretya-ruka) [оснастка]
54,"Смарт-паяльники на Type-C: обзор и сравнение TS101, Pinecil V2 и FNC88",Смарт-паяльники Type-C,smart-payalniki-type-c-obzor,рейтинг / обзор,🔴 Высокий,не начато,-> #6 (/kakoj-payalnik-vybrat) [выбор смарт-паяльника]; -> #57 (/proshivka-ironos-dlya-payalnikov) [прошивка IronOS]; -> #60 (/kak-payat-ot-powerbanka-pd-qc) [питание от Power Delivery]
55,Как паять паяльной пастой без фена и печи: пошаговый метод,Паяльные пасты и химия,kak-payat-payalnoj-pastoj-bez-fena,инструкция,🟡 Средний,не начато,-> #52 (/payalnaya-pasta-ili-pripoj) [выбор паяльной пасты]; -> #30 (/smd-pajka-svoimi-rukami) [ручной SMD монтаж]
56,Трафареты и шарики для BGA: как правильно накатать шары на чип,BGA и Реболлинг,trafarety-i-shariki-dlya-bga,инструкция,🟡 Средний,не начато,-> #51 (/payka-bga-rebolling-dlya-nachinayushchih) [реболлинг BGA]; -> #59 (/nizhnij-podogrev-dlya-pajki) [термостол]
57,"Прошивка IronOS для паяльников TS100, TS101 и Pinecil: зачем менять и как настроить",Смарт-паяльники Type-C,proshivka-ironos-dlya-payalnikov,обучающий / гайд,🟢 Низкий,не начато,-> #54 (/smart-payalniki-type-c-obzor) [смарт-паяльники TS101 и Pinecil]; -> #60 (/kak-payat-ot-powerbanka-pd-qc) [настройка профилей мощности]
58,Ручная пайка мелких компонентов 0201 и 0402: технологии и инструменты,Типы монтажа / SMD,pajka-komponentov-0201-0402,инструкция,🟡 Средний,не начато,-> #30 (/smd-pajka-svoimi-rukami) [базовый SMD монтаж]; -> #53 (/vybor-mikroskopa-dlya-pajki) [микроскоп для мелких чипов]
59,Нижний подогрев для пайки плат: зачем нужен и как выбрать термостол,BGA и Реболлинг,nizhnij-podogrev-dlya-pajki,гайд / выбор,🟡 Средний,не начато,-> #51 (/payka-bga-rebolling-dlya-nachinayushchih) [BGA монтаж]; -> #56 (/trafarety-i-shariki-dlya-bga) [трафареты BGA]
60,Как паять от повербанка: протоколы Power Delivery (PD) и Quick Charge (QC),Смарт-паяльники Type-C,kak-payat-ot-powerbanka-pd-qc,гайд,🟢 Низкий,не начато,-> #54 (/smart-payalniki-type-c-obzor) [паяльники Type-C]; -> #57 (/proshivka-ironos-dlya-payalnikov) [настройка параметров IronOS]
