url	title	h1	date	source	content_type	cluster	priority	status
https://club.dns-shop.ru/blog/t-375-payalnyie-instrumentyi/90493-kak-pravilno-payat-rukovodstvo-dlya-nachinauschih/	Как правильно паять: руководство для начинающих	Как правильно паять	12-03-2023	dns-shop.ru	гайд для новичков	Основы пайки / Как паять	высокий	собрано
https://www.vseinstrumenti.ru/publication/kak-nauchitsya-payat-payalnikom-pravilnaya-tehnika-dlya-nachinayuschih-2846/	Как научиться паять паяльником: правильная техника для начинающих	Как научиться паять паяльником	18-07-2023	vseinstrumenti.ru	гайд для новичков	Основы пайки / Как паять	высокий	собрано
https://habr.com/ru/articles/148656/	Пайка для начинающих	Пайка для начинающих	13-05-2026	habr.com	экспертный лонгрид	Основы пайки / Начинающим	высокий	собрано
https://xakep.ru/2022/08/17/soldering-art/	Искусство пайки. Выбираем инструменты, приборы и материалы	Искусство пайки	17-08-2022	xakep.ru	обзор / выбор инструментов	Инструменты / Выбор паяльника	высокий	собрано
https://t-j.ru/best-soldering-irons/	Лучшие паяльники в 2026 году: рейтинг моделей	Лучшие паяльники в 2026 году	11-02-2025	t-j.ru	рейтинг / buyer's guide	Инструменты / Рейтинг паяльников	высокий	собрано
https://www.youtube.com/watch?v=h9RTe8-vmxo	Как паять? Большой урок по пайке электроники	Как паять? Большой урок по пайке электроники	04-11-2024	youtube.com / AlexGyver	видео-урок	Основы пайки / Как паять	высокий	собрано
https://alexgyver.ru/all-for-soldering/	Всё для пайки — подборка AlexGyver	Всё для пайки	2024	alexgyver.ru	подборка / buyer's guide	Инструменты / Выбор паяльника	высокий	собрано
https://www.sea.com.ua/ua/payalnoe-oborudovanie-i-instrument/news/kak-naucitsa-paat-s-cego-nacat-i-kakie-instrumenty-nuzny/	Как научиться паять: с чего начать и какие инструменты нужны	Как навчитися паяти: з чого почати та які інструменти потрібні	16-06-2025	sea.com.ua	гайд для новичков	Основы пайки / Как паять	высокий	собрано
https://lemanapro.ru/advice/instrumenty/kak-pravilno-payat-payalnikom-v-domashnih-usloviyah/	Как правильно паять паяльником в домашних условиях	Как правильно паять паяльником в домашних условиях	2024	lemanapro.ru	гайд / инструкция	Основы пайки / Как паять	средний	требует проверки
https://www.youtube.com/watch?v=9rxSOe1djxg	Замена разъёма Type-C на Samsung: обучающее видео	Обучающее видео пайке — замена разъема type-c	02-02-2024	youtube.com / Паялыч	видео-инструкция	Ремонт электроники	?? Высокий	собрано
https://ruselectronic.com/zamena-sistemnogo-razema-samsung-x-480/	Замена разъёма зарядки телефона пошагово	Замена системного разъема Samsung X-480	19-08-2013 (обновл. 2019)	ruselectronic.com	инструкция / пошаговый гайд	Ремонт электроники	?? Высокий	собрано
https://www.youtube.com/watch?v=20OXwrwOlm8	Ремонт гнезда зарядки телефона в домашних условиях	Ремонт гнезда зарядки на телефоне в домашних условиях	18-03-2018	youtube.com / Galactic Express	видео-инструкция	Ремонт электроники	?? Средний	собрано
https://xakep.ru/2022/08/17/soldering-art/	Жало паяльника: типы и уход (раздел из обзора)	Искусство пайки — жала паяльника	17-08-2022	xakep.ru	обзор	Инструменты / Жала	?? Средний	требует доп. проверки
https://lemanapro.ru/advice/instrumenty/kak-pravilno-payat-payalnikom-v-domashnih-usloviyah/	Техника безопасности при пайке паяльником дома	Как правильно паять паяльником в домашних условиях	2024	lemanapro.ru	гайд / инструкция	Безопасность	?? Высокий	требует проверки (401)
https://alexgyver.ru/gyverkit-solder/	Паяльный набор начинающего: комплект GyvER	Паяльный набор GyvERkit Solder	2024	alexgyver.ru	product-led / buyer's guide	Организация рабочего места	?? Высокий	собрано
https://alexgyver.ru/gyverkit-solder-mini/	Мини-набор для пайки электроники GyvER	Паяльный мини-набор GyvERkit Solder Mini	2024	alexgyver.ru	product-led / buyer's guide	Организация рабочего места	?? Средний	собрано
